source_id,jurisdiction,abbr,jurisdiction_type,agency_type,agency_name,phone,toll_free,website,service_area,resource_classification,source_name,source_url,last_verified,verification_status,notes
vr:al:general,Alabama,AL,State,General VR,Alabama Department of Rehabilitation Services,(334) 293-7500,(800) 441-7607,https://rehab.alabama.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ak:general,Alaska,AK,State,General VR,Department of Labor & Workforce Development Division of Vocational Rehabilitation,(907) 269-3581,(800) 478-2815,https://labor.alaska.gov/dvr,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:as:general,American Samoa,AS,Territory,General VR,"Vocational Rehabilitation, American Samoa Government",(684) 699-1371 / (684) 699-4234,,https://www.americansamoa.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:az:general,Arizona,AZ,State,General VR,Arizona Vocational Rehabilitation,(602) 542-6295,,https://des.az.gov/services/employment/rehabilitation-services/vocational-rehabilitation-vr,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ar:blind,Arkansas,AR,State,Blind Services,Arkansas Division of Services for the Blind,(501) 682-5463,,https://humanservices.arkansas.gov/divisions-shared-services/services-for-the-blind,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ar:general,Arkansas,AR,State,General VR,Arkansas Rehabilitation Services,(501) 296-1600,,https://dws.arkansas.gov/ar-rehabilitation-services,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ca:general,California,CA,State,General VR,California Department of Rehabilitation,(916) 324-1313,,https://www.dor.ca.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:co:general,Colorado,CO,State,General VR,Colorado Division of Vocational Rehabilitation,(303) 866-4150,(866) 870-4595,https://dvr.colorado.gov,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ct:blind,Connecticut,CT,State,Blind Services,Connecticut Bureau of Education and Services for the Blind,(860) 602-4000,(800) 842-4510,https://portal.ct.gov/ads/knowledge-base/articles/blind-or-visually-impaired,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:ct:general,Connecticut,CT,State,General VR,Connecticut Department of Social Services – Vocational Rehabilitation,(860) 424-4844,(800) 537-2549,https://portal.ct.gov/aginganddisability/content-pages/programs/vocational-rehabilitation-program,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
vr:de:blind,Delaware,DE,State,Blind Services,Delaware Division for the Visually Impaired,(302) 255-9800,,https://dhss.delaware.gov/dhss/dvi,Statewide,Official state/territory VR agency,CSAVR / RSA-aligned directory,https://www.csavr.org/stateagencydirectory,2026-08-03,Verified – state-level,
